" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","1","1101 台泥","水泥","3.00","4.01","2.50","1.45","1.33","2.49","2.30","1.90","1.90","2.00","1.80","1.32","2.00","1.80","1.57","46.75"," "
" "," ","2","1102 亞泥","水泥","3.00","2.80","1.20","0.90","1.10","2.20","2.00","1.90","2.60","2.10","2.10","2.10","3.00","2.30","2.00","43.80"," "
" "," ","3","1103 嘉泥","水泥","1.00","1.00","0.50","0.20","0.10","0.30","1.00","0.00","0.50","0.60","0.40","0.00","1.00","0.00","0.00","21.35"," "
" "," ","4","1104 環泥","水泥","1.00","1.00","1.10","1.50","1.10","1.20","1.10","0.75","0.60","1.00","0.50","0.00","0.80","1.00","1.10","20.60"," "
" "," ","5","1108 幸福","水泥","0.15","0.00","0.00","0.60","0.85","0.60","0.45","0.00","0.00","0.00","0.17","0.00","0.25","0.45","0.45","12.55"," "
" "," ","6","1109 信大","水泥","1.10","0.80","0.10","0.10","0.20","0.20","1.20","0.38","0.35","0.28","0.35","0.20","0.50","0.60","0.50","20.95"," "
" "," ","7","1110 東泥","水泥","0.10","0.10","0.10","0.10","0.20","0.20","0.20","0.10","0.10","0.10","0.20","0.00","0.40","0.30","0.50","17.55"," "
" "," ","8","1201 味全","食品","1.33","0.80","0.00","0.00","0.00","0.00","0.60","0.60","0.60","0.60","0.60","0.00","0.00","0.00","0.00","20.80"," "
" "," ","9","1203 味王","食品","1.00","1.00","1.30","1.00","1.00","1.00","1.00","0.30","0.50","0.50","1.50","1.00","0.00","0.00","0.00","32.15"," "
" "," ","10","1210 大成","食品","2.20","2.00","2.70","1.50","0.70","1.00","4.00","1.20","1.69","1.68","1.70","1.70","1.97","1.49","1.09","54.80"," "
" "," ","11","1213 大飲","食品","0.00","0.00","0.00","0.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.00","8.48"," "
" "," ","12","1215 卜蜂","食品","4.00","3.00","3.00","3.00","2.00","2.00","1.30","0.80","0.30","1.00","1.00","0.70","1.00","0.60","0.00","78.50"," "
" "," ","13","1216 統一","食品","2.50","2.50","5.50","2.10","2.00","1.80","2.10","2.00","1.70","2.00","1.80","0.88","2.50","1.20","0.65","70.50"," "
" "," ","14","1217 愛之味","食品","0.00","0.00","0.00","0.00","0.15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.30"," "
" "," ","15","1218 泰山","食品","0.90","0.80","0.40","0.00","0.00","0.00","0.00","0.00","0.50","0.65","0.60","0.00","0.00","0.00","0.20","27.80"," "
" "," ","16","1219 福壽","食品","0.40","0.10","0.30","0.40","0.25","0.36","0.15","0.30","1.00","0.75","0.67","0.00","0.60","0.22","0.15","19.35"," "
" "," ","17","1220 台榮","食品","0.60","0.46","0.40","0.65","0.50","0.30","0.35","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.40"," "
" "," ","18","1225 福懋油","食品","1.30","1.15","1.25","1.25","1.00","0.25","0.24","0.38","0.60","0.80","0.34","0.00","0.25","0.00","0.00","42.75"," "
" "," ","19","1227 佳格","食品","2.65","2.50","2.00","2.00","2.70","2.60","2.50","3.50","4.80","5.00","3.50","1.45","0.90","1.30","1.10","51.80"," "
" "," ","20","1229 聯華","食品","3.20","2.10","2.80","2.10","1.45","1.80","1.00","1.00","1.00","1.50","0.80","0.60","1.20","1.00","0.80","50.80"," "
" "," ","21","1231 聯華食","食品","2.10","2.30","1.80","2.20","1.65","0.90","2.20","2.00","1.50","1.40","0.70","0.70","0.60","0.50","0.50","71.60"," "
" "," ","22","1232 大統益","食品","5.00","5.00","5.00","5.00","5.00","5.00","3.80","2.80","3.00","3.50","3.00","2.40","2.60","2.00","1.60","160.00"," "
" "," ","23","1233 天仁","食品","1.60","1.90","2.25","1.60","2.00","2.10","2.30","2.30","2.30","2.00","1.90","1.40","1.40","1.50","1.50","34.45"," "
" "," ","24","1234 黑松","食品","1.70","1.60","1.50","2.00","1.50","1.20","2.00","2.50","0.60","0.50","0.45","0.30","0.27","0.20","0.25","33.95"," "
" "," ","25","1235 興泰","食品","1.10","1.25","4.50","0.00","0.00","0.80","0.00","0.00","0.00","0.30","0.30","0.30","1.40","1.00","0.50","33.30"," "
" "," ","26","1236 宏亞","食品","0.30","0.40","0.10","0.30","0.70","1.30","1.30","0.70","1.50","1.40","1.80","1.00","1.30","0.60","1.80","14.00"," "
" "," ","27","1258 F-其祥","櫃食品","0.00","0.00","0.50","1.33","1.48","1.30","0.60","0.80","2.20","0.00","-","-","-","-","-","15.80"," "
" "," ","28","1259 安心","櫃觀光","3.20","3.00","3.50","3.00","2.80","2.30","2.00","2.50","3.00","3.00","-","-","-","-","-","69.60"," "
